duration,pkts_rate,bytes_rate,size_mean,size_std,size_q1,size_q2,size_q3,size_min,size_max,n_pkts,n_bytes
0.18752002716064453,63.993164792578916,10057.59239990032,157.16666666666666,158.06529944579518,66.0,72.0,160.5,66.0,583.0,12.0,1886.0
0.4154238700866699,31.293339011279752,17907.01145422385,572.2307692307693,642.6245648595661,66.0,153.0,1514.0,66.0,1514.0,13.0,7439.0
0.1701951026916504,76.3829263850949,38197.33880226938,500.0769230769231,601.4475437883125,66.0,74.0,1217.0,66.0,1510.0,13.0,6501.0
0.020554065704345703,194.60869968681126,14157.78290221552,72.75,13.808964479641476,60.0,69.0,81.75,60.0,93.0,4.0,291.0
0.0015299320220947266,1960.871435250117,117652.28611500701,60.0,0.0,60.0,60.0,60.0,60.0,60.0,3.0,180.0
0.01761007308959961,227.14272562345997,16524.633289106714,72.75,13.808964479641476,60.0,69.0,81.75,60.0,93.0,4.0,291.0
5.1975250244140625e-05,57719.779816513765,3463186.788990826,60.0,0.0,60.0,60.0,60.0,60.0,60.0,3.0,180.0
0.013570070266723633,294.76634397455945,21444.2515241492,72.75,13.808964479641476,60.0,69.0,81.75,60.0,93.0,4.0,291.0
9.202957153320312e-05,32598.21761658031,1955893.0569948186,60.0,0.0,60.0,60.0,60.0,60.0,60.0,3.0,180.0
0.02369093894958496,168.8409230428613,12283.17715136816,72.75,13.808964479641476,60.0,69.0,81.75,60.0,93.0,4.0,291.0
0.00677490234375,442.81081081081084,26568.64864864865,60.0,0.0,60.0,60.0,60.0,60.0,60.0,3.0,180.0
0.1646099090576172,30.374842125997937,2132.313917245055,70.2,13.362634470792052,60.0,60.0,78.0,60.0,93.0,5.0,351.0
0.00013399124145507812,29852.697508896796,1791161.8505338079,60.0,0.0,60.0,60.0,60.0,60.0,60.0,4.0,240.0
18.539640188217163,16.289420772682288,1519.2851486892118,93.26821192052981,66.85284013825529,66.0,66.0,66.0,66.0,663.0,302.0,28167.0
18.542087078094482,72.48374977096263,104202.83282363704,1437.6026785714287,279.67290874463043,1514.0,1514.0,1514.0,66.0,1514.0,1344.0,1932138.0
0.03644394874572754,54.8787952138273,11524.546994903734,210.0,144.0,138.0,210.0,282.0,66.0,354.0,2.0,420.0
0.08104515075683594,148.06561389470713,22950.170153679603,155.0,152.91936873180367,66.0,87.5,144.5,66.0,583.0,12.0,1860.0
0.08601713180541992,174.38386615740254,92481.57701880914,530.3333333333334,534.5599644151772,85.5,207.0,797.5,66.0,1466.0,15.0,7955.0
0.06794118881225586,103.03028431461999,15675.321827867185,152.14285714285714,177.66937880024602,66.0,66.0,109.0,66.0,583.0,7.0,1065.0
0.05336499214172363,131.17213587158054,114925.52990005763,876.1428571428571,584.3175331887935,370.5,928.0,1466.0,66.0,1466.0,7.0,6133.0
10.200944900512695,1.1763616132655401,141.84960453293638,120.58333333333333,143.63057841405345,66.0,66.0,69.0,66.0,583.0,12.0,1447.0
0.17715978622436523,39.5123529395932,6118.770083788432,154.85714285714286,177.60825959833915,66.0,66.0,118.5,66.0,583.0,7.0,1084.0
0.08507204055786133,82.2832032016322,13130.048282317595,159.57142857142858,178.09295898719952,66.0,66.0,135.0,66.0,583.0,7.0,1117.0
10.203390121459961,1.176079700683146,488.95513555901795,415.75,556.2505617974691,66.0,85.5,499.0,66.0,1514.0,12.0,4989.0
0.06620597839355469,105.7306329405664,63967.03292904267,605.0,600.5847150902194,104.5,324.0,1061.0,66.0,1514.0,7.0,4235.0
