"No.","Time","Source","Destination","Protocol","Length","Info"
"73","9.339749","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=46692 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 80]"
"74","9.339750","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=48152 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 80]"
"75","9.339751","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=49612 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 80]"
"76","9.339752","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=51072 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 80]"
"77","9.339826","10.30.217.62","128.135.24.73","TCP","54","64561  >  443 [ACK] Seq=6476 Ack=52532 Win=251968 Len=0"
"78","9.339826","10.30.217.62","128.135.24.73","TCP","54","[TCP Window Update] 64561  >  443 [ACK] Seq=6476 Ack=52532 Win=262144 Len=0"
"79","9.427682","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=52532 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 80]"
"80","9.427684","128.135.24.73","10.30.217.62","TLSv1.2","1514","Application Data"
"81","9.427686","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=55452 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 95]"
"82","9.428091","10.30.217.62","128.135.24.73","TCP","54","64561  >  443 [ACK] Seq=6476 Ack=56912 Win=257792 Len=0"
"83","9.428094","10.30.217.62","128.135.24.73","TCP","54","[TCP Window Update] 64561  >  443 [ACK] Seq=6476 Ack=56912 Win=262144 Len=0"
"84","9.429953","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=56912 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 95]"
"85","9.430135","10.30.217.62","128.135.24.73","TCP","54","64561  >  443 [ACK] Seq=6476 Ack=58372 Win=260736 Len=0"
"86","9.431053","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=58372 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 95]"
